Day,Wind_Speed(m/s),Wind_Energy(kWh)
1,9.425528742527712,1.795110981639506
2,6.545088238120335,0.6010639140329834
3,5.484344853171495,0.35362943166008187
4,4.717516816604919,0.22506839209409937
5,13.605091987599707,5.398568109562644
6,11.780918909874444,3.505190592366651
7,12.912314458655223,4.615156361818505
8,12.994760567874803,4.704126404283565
9,6.081313940337296,0.48213250149810805
10,9.975602948804205,2.1280978951550855
11,12.965218747379835,4.672116709926428
12,13.967704820486412,5.8418349538227945
13,13.228758096588939,4.9628524361047806
14,5.684436268889277,0.393764303312661
15,11.836833973368345,3.5553372720739977
16,11.379499755122515,3.158956531125936
17,14.48073914271017,6.509480464113891
18,9.029227809867823,1.578068928973469
19,6.190621696648503,0.5086006768664513
20,7.004703164416673,0.7367893601083464
21,14.759210541941187,6.892289666887442
22,13.088543972382595,4.806712497478362
23,8.069815705313662,1.1265876530937782
24,5.015181813849509,0.2704171201222035
25,4.495301694786502,0.1947379838631693
26,7.34654182684084,0.8500079821444954
27,11.468815964131949,3.2339245918667445
28,7.1895951959001945,0.7966864904944794
29,6.138131809087223,0.4957728819941942
30,13.16205895867106,4.888162477555183
