Day,Sunlight(kWh/m2),Solar_Energy(kWh)
1,7.264779854188719,1.3076603737539694
2,4.930326647080378,0.8874587964744679
3,7.8088920074509405,1.4056005613411693
4,3.4012342881875606,0.6122221718737609
5,3.360552545008948,0.6048994581016106
6,9.120147788018608,1.6416266018433494
7,6.457717493455785,1.1623891488220413
8,9.196192416278043,1.6553146349300476
9,6.9852228907860905,1.2573401203414962
10,8.333913907828324,1.5001045034090983
11,7.149989839672266,1.2869981711410077
12,5.000409681460373,0.9000737426628671
13,4.443149120412076,0.7997668416741737
14,6.937689757430442,1.2487841563374795
15,6.253576545375529,1.1256437781675952
16,5.380192289424677,0.9684346120964419
17,4.920461074017757,0.8856829933231962
18,4.049205237131944,0.7288569426837499
19,6.758633497433712,1.2165540295380681
20,3.624939563627364,0.6524891214529255
21,3.410553915670324,0.6138997048206584
22,4.5267109532915,0.8148079715924701
23,7.8184200432587545,1.4073156077865758
24,7.575398209812253,1.3635716777662055
25,6.936501610652306,1.2485702899174151
26,4.998861106353374,0.8997949991436073
27,6.859851877110976,1.2347733378799757
28,4.393659317195954,0.7908586770952718
29,5.361698394257482,0.9651057109663468
30,7.12709302028357,1.2828767436510424
